Sr_No,Location_Coordinates,Hospital_Name,Specialties,Address_Original_First_Line,State,District,Pincode,Telephone,Mobile_Number,Emergency_Num,Facilities,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Latitude,Longitude
18718,"18.5084726, 73.7913104",Borse Hospital,[],"Paud Road, Bhusari Colony",Maharashtra,Pune,411038.0,,,,,,,,18.5084726,73.7913104
18719,"18.5204303, 73.8567437",Deep Eye Hospital,[],"Sankalpa Society, 47/3, Paud Road, Opposite Jog Hospital",Maharashtra,Pune,411038.0,,,,,,,,18.5204303,73.8567437
18720,"18.4956151, 73.8110279",Deoyani Hospital - Pune,[],"Dahanukar Colony, Plot No. 99, Near Cummins India Ltd., Kothrud",Maharashtra,Pune,411038.0,,,,,,,,18.4956151,73.8110279
18721,"18.5049441, 73.825292",Jeevan Sadhana Clinic - Pune,[],"257-258, Karve Road, Near Paud Phata",Maharashtra,Pune,411038.0,,,,,,,,18.5049441,73.825292
18722,"18.5091826, 73.8216789",Jog Hospital,[],"46/2B/2, Paud Road",Maharashtra,Pune,411038.0,,,,,,,,18.5091826,73.8216789
18723,"18.4950677, 73.8122717",Kamal Netra Rugnalaya,[],"106,Dahanukar Colony 3Rd Lane Kothrud",Maharashtra,Pune,411038.0,,,,,,,,18.4950677,73.8122717
18724,"18.5050171, 73.7654974",Kothrud Eye Clinic,[],4 Saloni Apartments Opp Joshi Sweets Ldeal Colony Paud Road,Maharashtra,Pune,411038.0,,,,,,,,18.5050171,73.7654974
18728,"18.5011479, 73.825324",Nayan Tara Eye Clinic,[],"2Nd Floor, Yugay Complex, Ganesh Nagar, Erandwana",Maharashtra,Pune,411038.0,,,,,,,,18.5011479,73.825324
18731,"18.5021416, 73.8134371",Subudh Hospital and Research Center,[],"No. 145, Kothrud, Near Shivaji Statue",Maharashtra,Pune,411038.0,,,,,,,,18.5021416,73.8134371
18732,"18.5073985, 73.8076504",Sunny Nursing Home,[],"Shopping Plaza Shop No- 6 Rambaug Colony Near Pallavi Road Pavp Road, Kothrud",Maharashtra,Pune,411038.0,,,,,,,,18.5073985,73.8076504
18733,"18.5062206, 73.8088221",Suryaprabha Nursing Home,[],"Gujrat Colony Plot No. 7, Kothrud, Near Vanaz Company, Poud Road",Maharashtra,Pune,411038.0,,,,,,,,18.5062206,73.8088221
18734,"18.5108454, 73.8182008",Vinayak Netralaya - Pune,[],"Vinayak, 128/1B, Paud Road",Maharashtra,Pune,411038.0,,,,,,,,18.5108454,73.8182008
18736,"18.6771816, 73.8499421",Anand Hospital,[],"Opposite Pmt Bus Stop, Pune-Nashik Road, Bhosari",Maharashtra,Pune,411039.0,,,,,,,,18.6771816,73.8499421
18737,"18.5204303, 73.8567437",Burute Hospital,[],Near Rupee Co-Bank,Maharashtra,Pune,411039.0,,,,,,,,18.5204303,73.8567437
18739,"18.6268308, 73.8640059",Dr Raskar Eye Hospital,[],"Akanksha, 2Nd Floor,Above Life Line Hopital, Bhosari-Alandi Road, Bhosari",Maharashtra,Pune,411039.0,,,,,,,,18.6268308,73.8640059
18740,"18.6385292, 73.8477874",Lifeline Hospital,[],Hutatma Chawk Near Sbi Bank Bhosari,Maharashtra,Pune,411039.0,,,,,,,,18.6385292,73.8477874
18741,"18.6218553, 73.8508352",Mankikar Hospital For Children and Lab,[],"D.M. Chamber, Poona Nshik Highway, Bhosari",Maharashtra,Pune,411039.0,,,,,,,,18.6218553,73.8508352
18743,"18.6286266, 73.8518209",Pataskar Hospital,[],"Jay Ganesh Samrajya, C-Wing Opp Panjarpol Pune -Nashik Road, Bhosari",Maharashtra,Pune,411039.0,,,,,,,,18.6286266,73.8518209
18744,"19.95437, 73.830506",Patil Eye Hospital,[],"Gandhi Building, 1St Floor, Pune Nashik Road",Maharashtra,Pune,411039.0,,,,,,,,19.95437,73.830506
18745,"18.6141133, 73.7726814",Phoenix Hospital,[],"Kalewadi Phata, Opp Rhythm Society, Thergaon",Maharashtra,Pune,411039.0,,,,,,,,18.6141133,73.7726814
18746,"18.6162182, 73.8487527",Pritam Hospital,[],"Near Centuri Enka Colony No. 3, Pune-Nashik Road, Bhosari",Maharashtra,Pune,411039.0,,,,,,,,18.6162182,73.8487527
18747,"18.6195835, 73.8501883",Saidham Hospital,[],"Near Bank Of Maharashtra, Landewadi, Bhosari",Maharashtra,Pune,411039.0,,,,,,,,18.6195835,73.8501883
18748,"18.6207784, 73.8505578",Sainath Orthopaedic Hospital,[],"Nagdeo Tower,Pune - Nashik Road,Bhosari",Maharashtra,Pune,411039.0,,,,,,,,18.6207784,73.8505578
18750,"18.5204303, 73.8567437",Swastik Dental Care,[],"Shop No- 2 & 3, Lower Gr Floor, Janai Height, Pmt Chowk",Maharashtra,Pune,411039.0,,,,,,,,18.5204303,73.8567437
18752,"18.4858699, 73.9058534","Grant Medical Foundation, Ruby Hall Clinic - Wanowarie - Pune",[],"59/6, Azad Nagar Wanowarie",Maharashtra,Pune,411040.0,,,,,,,,18.4858699,73.9058534
18753,"18.4828904, 73.9016832",Smiles Dental Speciality and Implant Centre,[],"Shop No-38(1),Sacred Heart Town Market,Wanowrie",Maharashtra,Pune,411040.0,,,,,,,,18.4828904,73.9016832
18754,"18.1661487, 74.5970527",Atole Accident Hospital,[],"Avdhoot Plaza,Near Ajinkya Market,Bhigwan Road,Baramati",Maharashtra,Pune,411041.0,,,,,,,,18.1661487,74.5970527
18759,"18.5204303, 73.8567437",Dr Patil Eye Clinic and Hospital,[],"201, 202, Panna Chambers, Swargate Corner",Maharashtra,Pune,411042.0,,,,,,,,18.5204303,73.8567437
18760,"18.5010536, 73.5137654",Indira Nursing Home,[],"Patil Wada, Shubhang Park Building, Pirangut Bus Stop, Mulshi",Maharashtra,Pune,411042.0,,,,,,,,18.5010536,73.5137654
18761,"18.5090808, 73.8730012",Pune Diagnostic Center,[],"623, Ganj Peth, Mahatma Phule Peth",Maharashtra,Pune,411042.0,,,,,,,,18.5090808,73.8730012
18762,"18.5019469, 73.8662917",Sai Diagnostic Center,[],"314, Ghorpadepeth",Maharashtra,Pune,411042.0,,,,,,,,18.5019469,73.8662917
18763,"18.501036, 73.8668409",Sharda Clinic,[],408/1 Ghorpade Peth Shankar Seth Road,Maharashtra,Pune,411042.0,,,,,,,,18.501036,73.8668409
18764,"18.5010536, 73.5137654",Shushrusha Dr Lalbegi General and Maternity Home,[],"At Post Pirangut, Near Grampanchayat Office, Taluka Mulshi",Maharashtra,Pune,411042.0,,,,,,,,18.5010536,73.5137654
18765,"18.462123, 73.8582062",Bharati Hospital And Research Center,[],"Pune-Satara Rd, Dhankawadi",Maharashtra,Pune,411043.0,,,,,,,,18.462123,73.8582062
18766,"18.457314, 73.852319",Bvmfs Bharti Hospital and Research Center,[],"Bharati Vidyapeeth, Dhankawadi",Maharashtra,Pune,411043.0,,,,,,,,18.457314,73.852319
18767,"18.4650919, 73.8553898",Dr Patwardhan Hospital,[],"Dhanakwadi, Main Road Dhankwadi",Maharashtra,Pune,411043.0,,,,,,,,18.4650919,73.8553898
18769,"18.4616211, 73.8505315",Pawar Hospital,[],"Sr.No.22, Plot No.49,Balajinagar, Behind Ellora Palace, Dhankawadi",Maharashtra,Pune,411043.0,,,,,,,,18.4616211,73.8505315
18771,"18.4775848, 73.8572817",Unity Ortho And Eye Hospital - Pune,[],"Rajdhani Complex, Next To Shankar Maharaj Math, Pune Satara Road",Maharashtra,Pune,411043.0,,,,,,,,18.4775848,73.8572817
18772,"18.4775848, 73.8572817",Vimal Nursing Home,[],"Pune-Satara Road, OppositeKakade Jewellers, Dhanakawadi",Maharashtra,Pune,411043.0,,,,,,,,18.4775848,73.8572817
18773,"19.0429578, 72.8417775",Ameya Netralaya (Eye Hospital),[],"2Nd Floor, Santbhoomi Coop Society",Maharashtra,Pune,411044.0,,,,,,,,19.0429578,72.8417775
18774,"18.6485756, 73.7647023",Anand Hospital Managed By Foresight Hospital,[],"Sector No:26, Hutatma Chowk,Bradhikaran,Near Akurdi Railway Station",Maharashtra,Pune,411044.0,,,,,,,,18.6485756,73.7647023
18775,"19.1168918, 72.9103201",Badade Hospital,[],"Agarwal Chambers, Opp Nigdi Busstop, Pune- Bombay High Way",Maharashtra,Pune,411044.0,,,,,,,,19.1168918,72.9103201
18776,"18.6557419, 73.7735328",Dhanwantari Hospital,[],"Sector No.27, Tilak Road, Opposite Lig Colony, Near Lokmany Hospital, Nigdi",Maharashtra,Pune,411044.0,,,,,,,,18.6557419,73.7735328
18779,"18.6517098, 73.7683784",Gandhi Nursing Home,[],"102/24, Near Nigadi Police Station Pradhikaran Pimpri",Maharashtra,Pune,411044.0,,,,,,,,18.6517098,73.7683784
18780,"18.6566144, 73.7744601",Lokmanya Hospital Pvt Ltd,[],"Sector-24, Tilak Road, Pradhikaran, Nigdi",Maharashtra,Pune,411044.0,,,,,,,,18.6566144,73.7744601
18781,"18.6297811, 73.7997094",Morya Clinic,[],"Boat Club Rd, Dattnagaar, Chinchwad",Maharashtra,Pune,411044.0,,,,,,,,18.6297811,73.7997094
18783,"18.6516718, 73.8428592",Ranna Danappa Nursing Home,[],"Yamunanagar, Pcntda Nigdi",Maharashtra,Pune,411044.0,,,,,,,,18.6516718,73.8428592
18786,"18.6436478, 73.7570787",Varma Ortho - Surgical Centre,[],"Plot (Sdc) 8, Sector -25 Pradhikaran, Nigdi",Maharashtra,Pune,411044.0,,,,,,,,18.6436478,73.7570787
18787,"18.4575324, 73.8677464",Nityanand Rehabilitation and Residential Mental Heal,[],"Behind Bharti, Vidyapeeth,Inside Patang Plaza, Opp Sachi-Aai Mata Mandir,Katraj",Maharashtra,Pune,411046.0,,,,,,,,18.4575324,73.8677464
18788,"18.4575324, 73.8677464",Sai Sneh Hospital and Diagnostic Centre Pvt Ltd,[],"Near Pmt Bus Depot, Pune Satara Road, Opposite Octroi Office, Katraj",Maharashtra,Pune,411046.0,,,,,,,,18.4575324,73.8677464
18792,"18.5204303, 73.8567437",Dr Prasanna R Bhanare Dental Clinic and Implant Center,[],"Flat No- 4, Ist Floor, Gite Bldg Near Naaz Hotel OppositeKonark Puram, Kondhawa Khurd",Maharashtra,Pune,411048.0,,,,,,,,18.5204303,73.8567437
18793,"18.5204303, 73.8567437",Saiseva Nursing Home,[],"Deccantower, Opp:Pulgatepostoffice",Maharashtra,Pune,411048.0,,,,,,,,18.5204303,73.8567437
18796,"18.4777968, 73.8213213",Bhandari Maternity and Nursing Home,[],"5, Dhanlaxmi Society, Anandnagar",Maharashtra,Pune,411051.0,,,,,,,,18.4777968,73.8213213
18797,"18.4828427, 73.8271901",Chinchanikar Hospital,[],"Plot No 7, Mahalaxmi Residency, Opposite Santosh Hall, Narveer Tanaji Malusare Rd, Hingne Khurd",Maharashtra,Pune,411051.0,,,,,,,,18.4828427,73.8271901
18799,"18.5204303, 73.8567437",Jagtap Hospital,[],"Star Diagnostics Centre, Anandnagar,Sinhagad Road, Near Santosh Hall",Maharashtra,Pune,411051.0,,,,,,,,18.5204303,73.8567437
18800,"18.4751062, 73.8224587",Madhukar General Hospital,[],"Mahalaxmi Society , Hingane, Khurd Vitthalwadi Sinhagad Road",Maharashtra,Pune,411051.0,,,,,,,,18.4751062,73.8224587
18803,"18.4828427, 73.8271901",Prachiti Hospital and Research Center,[],"Sinhagad Road, Hingane Khurd",Maharashtra,Pune,411051.0,,,,,,,,18.4828427,73.8271901
18804,"18.4745833, 73.8221167",Shree Sai Retina And Eye Care Center - Pune,[],"Gargi Clinic, Flat No-4,Mohite Twin Tower,Above Icici Atm Bank, Anand Nagar, Sinhgad Road,Pune-51 Anand Nagar, Sinhgad Road",Maharashtra,Pune,411051.0,,,,,,,,18.4745833,73.8221167
18805,"18.4864727, 73.796834",Chaitanya Centre For Psychological Help,[],"Popular Prestige Commercial Complex, Srv No 141/142, Next To Fly Over Warje",Maharashtra,Pune,411052.0,,,,,,,,18.4864727,73.796834
18806,"18.4897587, 73.8202962",Dental Clinic,[],"Shop No.5, Krishnai Complex, OppositeCorporation Bank, Karve Nagar",Maharashtra,Pune,411052.0,,,,,,,,18.4897587,73.8202962
18807,"18.4914674, 73.8253649",Khenat Hospital and Maternity Home,[],"Sai Housing Society,Karve Nagar",Maharashtra,Pune,411052.0,,,,,,,,18.4914674,73.8253649
18809,"18.4914674, 73.8253649",Vivekanand Medical Foundations Dr Khenat Hospital and Maternity Home,[],"Sai Housing Society, Karve Nagar",Maharashtra,Pune,411052.0,,,,,,,,18.4914674,73.8253649
18810,"18.5989428, 73.7652715",Lifepoint Multispeciality Hospital,[],"145/1, Mumbai-Bengaluru Highway, Near Hotel Sayaji, Wakad",Maharashtra,Pune,411057.0,,,,,,,,18.5989428,73.7652715
18811,"18.6029022, 73.7645568",Polaris Health Care,[],"Wakad -Dange Chowk Road ,Near Datta Mandir , Wakad",Maharashtra,Pune,411057.0,,,,,,,,18.6029022,73.7645568
18812,"18.505764, 73.8160866",Chaitanya Hospital,[],"Bhaghirathi Nagar, Warje Malwadi",Maharashtra,Pune,411058.0,,,,,,,,18.505764,73.8160866
18813,"18.5204303, 73.8567437",Kulkarni Hospital and Diagnostic Centre,[],"Sr. No. 125/B, Near Water Purification Plant, Warje Octroi Post",Maharashtra,Pune,411058.0,,,,,,,,18.5204303,73.8567437
18814,"18.4869119, 73.7994922",Lodha Hospital,[],"Pol Hights, Near Popular Nagar, Warje",Maharashtra,Pune,411058.0,,,,,,,,18.4869119,73.7994922
18817,"18.6806652, 73.7313697",Bansal Hospital,[],"Opp Bank Of India Dehu Rd, Off Bombay-Pune Highway",Maharashtra,Pune,412101.0,,,,,,,,18.6806652,73.7313697
18819,"18.4775848, 73.8572817",Ashwin Hospital,[],Nagar - Satara Road,Maharashtra,Pune,412102.0,,,,,,,,18.4775848,73.8572817
18820,"18.1841352, 74.6107628",Rukhmini Maternity and Nursing Home,[],"Baramati Road, A/P Nira, Tal Saswad",Maharashtra,Pune,412102.0,,,,,,,,18.1841352,74.6107628
18822,"18.1260908, 74.3880929",Shri Ram Hospital - Rsby,[],"A/P Nira, Baramati Road",Maharashtra,Pune,412102.0,,,,,,,,18.1260908,74.3880929
18823,"18.4752603, 73.9577445",Shinde Hospital,[],"Pune Pandharpur Road , Near Panchayat Samiti, Malshiras",Maharashtra,Pune,412104.0,,,,,,,,18.4752603,73.9577445
18824,"18.6501684, 73.8503667",Sainath Hospital,[],"Sector No 4, Moshi Pradhikaran, Pune-Nasik Highway",Maharashtra,Pune,412105.0,,,,,,,,18.6501684,73.8503667
18826,"18.6783977, 73.8992014",Shri Sai Hospital,[],"Poona Alandi Road, Dehu Phata, Alandi",Maharashtra,Pune,412105.0,,,,,,,,18.6783977,73.8992014
18827,"18.6825338, 73.7320188",Matoshri Hospital.,[],"Near Mumbai Pune Highway, Taluka Mawal, Vadgaon",Maharashtra,Pune,412106.0,,,,,,,,18.6825338,73.7320188
18828,"18.7281047, 73.6538005",Maval Hospital.,[],"Mumbai-Pune Road, Vadgaon, Maval",Maharashtra,Pune,412106.0,,,,,,,,18.7281047,73.6538005
18829,"18.4615757, 73.8169099",Sinhagad Hospital Pvt. Ltd. Md Kings Multi Speciality Hospital.,[],"Anudatta Commercial Complex, Opp Abhiruchi Resort, Wadgaon",Maharashtra,Pune,412106.0,,,,,,,,18.4615757,73.8169099
18833,"18.4850053, 74.0711359",Dr Marathe Hospital - Rsby,[],"At Post Kunjirwadi Tal. Haveli District  Pune, Km No. 20 Kunjirwadi",Maharashtra,Pune,412201.0,,,,,,,,18.4850053,74.0711359
18835,"18.4874257, 74.1333715",Nisargopchar Gramsudhar Trust,[],Uruli Kanchan,Maharashtra,Pune,412202.0,,,,,,,,18.4874257,74.1333715
18836,"18.4592892, 74.5873348",Baravkar Hospital,[],"Kedgaon Station, Taluka Daund",Maharashtra,Pune,412203.0,,,,,,,,18.4592892,74.5873348
18837,"18.4592892, 74.5873348",Mohan General Hospital - Daund,[],"Kedgaon Station, Tal. Daund",Maharashtra,Pune,412203.0,,,,,,,,18.4592892,74.5873348
18838,"18.4592892, 74.5873348",Om General Hospital and Matarnity Home,[],"At. Post Boripardhi, Tal. Daund",Maharashtra,Pune,412203.0,,,,,,,,18.4592892,74.5873348
18839,"18.4592892, 74.5873348",Parth Hospital,[],"Ap Post Kedgaon Station, Tal Daund",Maharashtra,Pune,412203.0,,,,,,,,18.4592892,74.5873348
18840,"18.4592892, 74.5873348",Thorat Hospital,[],"At Post Kedgaon, Tal. Daund",Maharashtra,Pune,412203.0,,,,,,,,18.4592892,74.5873348
18841,"18.1841352, 74.6107628",Leela Gulab Hospital,[],At Post Supe Baramati,Maharashtra,Pune,412204.0,,,,,,,,18.1841352,74.6107628
18842,"18.1458199, 73.8429847",Burande Hospital,[],"499, Nagora Ali. Bhor",Maharashtra,Pune,412206.0,,,,,,,,18.1458199,73.8429847
18843,"18.1458199, 73.8429847",Shubhangad Goregaonkar Smruti Rugnalaya,[],Shripati Nagar-Bhor,Maharashtra,Pune,412206.0,,,,,,,,18.1458199,73.8429847
18847,"18.8272478, 74.3730083",Ankur Hospital,[],"Near Petrol Pump, Chakan Chowk, Shikra/Pur, Tal. Shirur",Maharashtra,Pune,412208.0,,,,,,,,18.8272478,74.3730083
18848,"18.8272478, 74.3730083",Anmol Jeevan Hospital,[],At Post Shikrapur Taluka Shirur,Maharashtra,Pune,412208.0,,,,,,,,18.8272478,74.3730083
18849,"18.6647409, 74.1084322",Dhamdhere Hospital,[],"Sanaswadi, Pune Nagar Road Tal Shirur",Maharashtra,Pune,412208.0,,,,,,,,18.6647409,74.1084322
18850,"18.5628913, 73.9367606",Jijamata Hospital,[],Pune Nagar Rd Pune Nagar Rd Shikrapur,Maharashtra,Pune,412208.0,,,,,,,,18.5628913,73.9367606
18852,"18.4592892, 74.5873348",Shinde Hospital,[],"A P Kedgaon Station, Tal. Daund",Maharashtra,Pune,412208.0,,,,,,,,18.4592892,74.5873348
18853,"18.8272478, 74.3730083",Shrikrishna Hospital,[],"A / P Talegaon Dhamdhere Tal, Shirur",Maharashtra,Pune,412208.0,,,,,,,,18.8272478,74.3730083
18855,"18.8272478, 74.3730083",Narwade Hospital,[],"Ranjan Ganpati, Karnjawar Raod,Shirur",Maharashtra,Pune,412209.0,,,,,,,,18.8272478,74.3730083
18856,"16.0993242, 75.7822057",Shree Mahaganpati Hospital,[],",Ranjangaon Ganpati,Sirur",Maharashtra,Pune,412209.0,,,,,,,,16.0993242,75.7822057
18859,"18.8272478, 74.3730083","Bhakti Hospital - Sanaswadi,Pune",[],"Sansawadi Chowk (Ispat Road) , Tal - Shirur",Maharashtra,Pune,412210.0,,,,,,,,18.8272478,74.3730083
18860,"18.8272478, 74.3730083",Dr. Konde Hospital.,[],"Opposite Market Yard, Pune- Nagar Road, Shirur",Maharashtra,Pune,412210.0,,,,,,,,18.8272478,74.3730083
18861,"18.8272478, 74.3730083",Harde Hospital and Maternity Home,[],"Khara - Malla, Adinath Nagar, Pune Nagar Road, Near Suraj Hotel, Shirur Pune Nagar Road, Near Suraj Hotel, Shirur",Maharashtra,Pune,412210.0,,,,,,,,18.8272478,74.3730083
18862,"18.8272478, 74.3730083",Jijamata Hospital,[],A/P Shikrapur Tel Shirur,Maharashtra,Pune,412210.0,,,,,,,,18.8272478,74.3730083
18864,"16.9529766, 82.2471715",Matruchhaya Hospital,[],"Revenue Colony , Revenue Colony",Maharashtra,Pune,412210.0,,,,,,,,16.9529766,82.2471715
18865,"18.8272478, 74.3730083",Meera Nursing Home,[],"507, Kharamala, Opp Tahashildar Office Shirur",Maharashtra,Pune,412210.0,,,,,,,,18.8272478,74.3730083
18867,"18.8259051, 74.3752419",Nityaseva Hospital,[],"2147, Revenue Colony, Shirur",Maharashtra,Pune,412210.0,,,,,,,,18.8259051,74.3752419
18868,"18.5282786, 73.8470523",R.M. Dhariwal Foundation's Matoshree Madanbai Dhariwal Hospital,[],"#1969 , Revenue Colony",Maharashtra,Pune,412210.0,,,,,,,,18.5282786,73.8470523
18869,"18.5204303, 73.8567437",Ravi Clinic and General Hospital,[],"210, Maruti Ali, Shrur",Maharashtra,Pune,412210.0,,,,,,,,18.5204303,73.8567437
18870,"18.8272478, 74.3730083",Vighnaharta Multispeciality Hospital,[],"No. 1149, Bafana Mala,Pune - Nagar By Pass Road,A/P Shirur",Maharashtra,Pune,412210.0,,,,,,,,18.8272478,74.3730083
18871,"18.8259051, 74.3752419",Walunj Hospital,[],"Revenue Colony, Shirur",Maharashtra,Pune,412210.0,,,,,,,,18.8259051,74.3752419
18872,"18.8272478, 74.3730083",Shree Dhanwantari Hospital,[],"A P Mandavgan Farata, Tal. Shirur",Maharashtra,Pune,412211.0,,,,,,,,18.8272478,74.3730083
18876,"18.8272478, 74.3730083",Onkar Hospital,[],"Koregaon Bhima, Tal-Shirur",Maharashtra,Pune,412216.0,,,,,,,,18.8272478,74.3730083
18877,"18.8272478, 74.3730083",Rakshak Hospital,[],"Pune Nagar Highway, Shikrapur, Tal. Shirur",Maharashtra,Pune,412216.0,,,,,,,,18.8272478,74.3730083
18878,"18.5628913, 73.9367606",Thite Hospital,[],Perne Phata Poona Nagar Road,Maharashtra,Pune,412216.0,,,,,,,,18.5628913,73.9367606
18879,"18.8298159, 74.1355267",Langhe Hospital - Rsby,[],A/P Kanhur Mesai,Maharashtra,Pune,412218.0,,,,,,,,18.8298159,74.1355267
18880,"18.5204303, 73.8567437",Divekar Hospital,[],"Patas, Daund",Maharashtra,Pune,412219.0,,,,,,,,18.5204303,73.8567437
18881,"18.4592892, 74.5873348",Shree Ganesh Hospital,[],At Post Patas (Bazar Tal) Taluka Daund,Maharashtra,Pune,412219.0,,,,,,,,18.4592892,74.5873348
18882,"18.5204303, 73.8567437",Chintamani Hospital,[],"At Post Saswasd, Hudco Road, Opp Rashtrawadi Bahvan, Purandar",Maharashtra,Pune,412301.0,,,,,,,,18.5204303,73.8567437
18883,"18.5204303, 73.8567437",Dalvi Hospital.,[],"Dalvi Shopping Center, Main Road Saswad, Purandar",Maharashtra,Pune,412301.0,,,,,,,,18.5204303,73.8567437
18884,"18.3520712, 74.0329499",Dr. Mainkar Hospital,[],Main Road Saswad,Maharashtra,Pune,412301.0,,,,,,,,18.3520712,74.0329499
18886,"18.5065751, 73.9586957",Nalawade Hospital,[],"Manjari Road, Mahadev Nagar, Kirloskar Society",Maharashtra,Pune,412307.0,,,,,,,,18.5065751,73.9586957
18887,"18.4726725, 73.9784573",Shivam Hospital,[],"Near Manali Resort, Pune-Solapur Highway, Tarawadi, Post-Phursungi",Maharashtra,Pune,412308.0,,,,,,,,18.4726725,73.9784573
18888,"18.5076608, 73.9587061",Suraj Hospital,[],"Mahadevnagar Manjari Road, Hadaspur",Maharashtra,Pune,412308.0,,,,,,,,18.5076608,73.9587061
18889,"18.5204303, 73.8567437",Adhar Hospital,[],"At Post Pargaon(Shingve), Taluka Amgegaon",Maharashtra,Pune,412406.0,,,,,,,,18.5204303,73.8567437
18890,"19.0514747, 73.8327676",Dongre Hospital,[],"Bhimashankar Road, Ghodegaon, Tal-Ambegaon",Maharashtra,Pune,412408.0,,,,,,,,19.0514747,73.8327676
18891,"19.0436986, 73.8330844",Potnis Hospital- Rsby,[],Ghodegaon,Maharashtra,Pune,412408.0,,,,,,,,19.0436986,73.8330844
18892,"19.2031842, 73.87425",Dr. Gaikar Hospital,[],"Near Airtel Tower, Otur Taluka Junnar",Maharashtra,Pune,412409.0,,,,,,,,19.2031842,73.87425
18893,"19.2031842, 73.87425",Dr. Phapale Hospital,[],"Near P.D.C.C. Bank, Jijamata Complex Otur Tal. Junnar",Maharashtra,Pune,412409.0,,,,,,,,19.2031842,73.87425
18894,"19.2031842, 73.87425",Dr. Wetal Hospital,[],"At Post Otur, Tal. Junnar",Maharashtra,Pune,412409.0,,,,,,,,19.2031842,73.87425
18895,"18.5454274, 73.8855605",K.E.M. Hospital,[],Pune-11,Maharashtra,Pune,412411.0,,,,,,,,18.5454274,73.8855605
18897,"19.2031842, 73.87425",Shanti Hospital,[],"A/P Belhe, Tal. Junnar",Maharashtra,Pune,412411.0,,,,,,,,19.2031842,73.87425
18898,"18.1841352, 74.6107628",Anuchandra Accidnt Hospital,[],"Geetai Building, Cinem Rd, Behind Balak Mandir, Baramati",Maharashtra,Pune,413102.0,,,,,,,,18.1841352,74.6107628
18901,"18.5204303, 73.8567437",Bobade Accident Hospital,[],Indapur Road,Maharashtra,Pune,413102.0,,,,,,,,18.5204303,73.8567437
18902,"18.5204303, 73.8567437",Deokate Hospital,[],Indapur Road,Maharashtra,Pune,413102.0,,,,,,,,18.5204303,73.8567437
18903,"18.0556093, 74.4848003",Dhanvantary Hospital - Rsby,[],At Post Sangavi,Maharashtra,Pune,413102.0,,,,,,,,18.0556093,74.4848003
18904,"18.1841352, 74.6107628",Dhulabapu Kokare Memorial Hospital,[],"A/P Ring Road Asshok Nagar, Baramati, Baramati",Maharashtra,Pune,413102.0,,,,,,,,18.1841352,74.6107628
18905,"18.1841352, 74.6107628",Dr. Jedhe Balrugnalaya,[],"Near Market Yard, Indapur Road,Baramati",Maharashtra,Pune,413102.0,,,,,,,,18.1841352,74.6107628
18906,"18.1435037, 74.5737416",Giri Raj Hospital and Intensive Care Unit,[],"Indapur Road, Near S. T. Stand, Baramati",Maharashtra,Pune,413102.0,,,,,,,,18.1435037,74.5737416
18907,"18.1486231, 74.574795",Kamal Drishti Eye Center,[],"Old Lic Office, Cinema Road, Baramati",Maharashtra,Pune,413102.0,,,,,,,,18.1486231,74.574795
18908,"18.1841352, 74.6107628",Krishna Drishti Eye Hospital,[],"Cinema Road, Old Lic Building, Baramati",Maharashtra,Pune,413102.0,,,,,,,,18.1841352,74.6107628
18910,"18.1841352, 74.6107628",Mehta Nursing Home,[],"Saif Chambers, Cinema Road, Opp Kiran Auto Lines Baramati",Maharashtra,Pune,413102.0,,,,,,,,18.1841352,74.6107628
18913,"18.1547039, 74.5806179",Niramay Medical Foundation and Research Centre Pvt. Ltd.,[],"Ashoknagar Bhigwan Road, Baramati.",Maharashtra,Pune,413102.0,,,,,,,,18.1547039,74.5806179
18914,"18.1841352, 74.6107628",Niranjan Nursing Home (Atole Hospital),[],"Opp Sanskrutik Kendra, Near Ambedkar Stadium Baramati",Maharashtra,Pune,413102.0,,,,,,,,18.1841352,74.6107628
18916,"18.1841352, 74.6107628",Shivanandan Polyclinic,[],"4/401 Ashoknagar,Bhigawan Road Behind Ashish Petrol Pump Baramati",Maharashtra,Pune,413102.0,,,,,,,,18.1841352,74.6107628
18918,"18.1486231, 74.574795",Shri Sai Eye Hospital,[],"1St Floor, Ranaware Towers, Cinema Road, Baramati",Maharashtra,Pune,413102.0,,,,,,,,18.1486231,74.574795
18919,"18.1578373, 74.5680226",Shripal Hospital,[],"Near Ram Mandir, , Baramati, Baramati",Maharashtra,Pune,413102.0,,,,,,,,18.1578373,74.5680226
18920,"18.1483143, 74.5739472",Sunjeevan Nursng Home,[],"Subhash Chouk, Burud Galli Baramati",Maharashtra,Pune,413102.0,,,,,,,,18.1483143,74.5739472
18921,"18.1841352, 74.6107628",Yashdeep Eye Hospital,[],"Above Dena Bank, Subhash Chowk, Baramati",Maharashtra,Pune,413102.0,,,,,,,,18.1841352,74.6107628
18922,"18.1841352, 74.6107628",Yashshree Nursing Home,[],"Ashok Nagar, Behind State Bank, Baramati",Maharashtra,Pune,413102.0,,,,,,,,18.1841352,74.6107628
18924,"18.1140272, 75.0319086",Magar Accident and Eye Hospital.,[],"Kalthan Road, Infront Of At & T Tower, Indapur",Maharashtra,Pune,413106.0,,,,,,,,18.1140272,75.0319086
